8 degree,,,15 degree,,,45 degree,,,90 degree,,
Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm
0.00031,2.4,0.00096,0.00002,4.17,0.001668,0.00085,4.95,0.00198,0.00086,4.88,0.001952
0.00071,2.83,0.001132,0.00042,4.56,0.001824,0.00125,5.24,0.002096,0.00126,5.38,0.00269
0.00111,2.98,0.001192,0.00082,4.61,0.001844,0.00165,5.44,0.002176,0.00176,5.86,0.002344
0.00151,3.35,0.00134,0.00122,5,0.002,0.00205,5.81,0.002324,0.00216,6.19,0.003095
0.00191,3.71,0.001484,0.00162,5.26,0.002104,0.00245,6.2,0.00248,0.00266,6.75,0.0027
0.00231,3.85,0.00154,0.00202,5.58,0.002232,0.00285,6.31,0.003155,0.00306,7.31,0.002924
0.00271,4.37,0.001748,0.00242,5.82,0.002328,0.00335,6.68,0.002672,0.00346,7.85,0.00314
0.00311,4.77,0.001908,0.00282,6.18,0.002472,0.00375,7.09,0.002836,0.00386,8.31,0.003324
0.00351,4.87,0.001948,0.00322,6.49,0.002596,0.00415,7.49,0.002996,0.00426,8.73,0.003492
0.00391,5.4,0.00216,0.00362,6.79,0.002716,0.00455,7.77,0.003885,0.00466,9.18,0.003672
0.00431,5.67,0.002268,0.00402,6.97,0.002788,0.00505,8.33,0.003332,0.00506,9.81,0.003924
0.00471,6.1,0.00305,0.00442,7.53,0.003012,0.00545,8.61,0.004305,0.00546,10.22,0.004088
0.00521,6.49,0.002596,0.00482,7.77,0.003108,0.00595,9.03,0.004515,0.00586,10.75,0.0043
0.00561,6.6,0.00264,0.00522,8.25,0.0033,0.00645,9.52,0.003808,0.00626,11.08,0.004432
0.00601,7.02,0.002808,0.00562,8.54,0.003416,0.00685,9.76,0.003904,0.00666,11.65,0.00466
0.00641,7.48,0.002992,0.00602,8.92,0.003568,0.00725,10.24,0.00512,0.00706,12.17,0.004868
0.00681,7.8,0.00312,0.00642,9.21,0.003684,0.00775,10.64,0.004256,0.00746,12.65,0.00506
0.00721,8.15,0.002445,0.00682,9.51,0.004755,0.00815,11.23,0.005615,0.00786,13.14,0.005256
0.00751,8.49,0.004245,0.00732,9.92,0.003968,0.00865,11.63,0.004652,0.00826,13.79,0.005516
0.00801,8.87,0.003548,0.00772,10.27,0.004108,0.00905,11.99,0.004796,0.00866,14.24,0.005696
0.00841,9.34,0.003736,0.00812,10.69,0.004276,0.00945,12.2,0.00488,0.00906,14.82,0.005928
0.00881,9.86,0.00493,0.00852,11.05,0.00442,0.00985,12.84,0.005136,0.00946,15.4,0.00616
0.00931,10.13,0.005065,0.00892,11.4,0.0057,0.01025,13.13,0.005252,0.00986,16.04,0.006416
0.00981,10.73,0.004292,0.00942,11.83,0.004732,0.01065,13.57,0.005428,0.01026,16.53,0.006612
0.01021,11.04,0.004416,0.00982,12.35,0.006175,0.01105,13.98,0.005592,0.01066,17.05,0.00682
0.01061,11.54,0.00577,0.01032,12.58,0.005032,0.01145,14.58,0.005832,0.01106,17.78,0.007112
0.01111,12.06,0.004824,0.01072,13.06,0.005224,0.01185,14.89,0.005956,0.01146,18.26,0.00913
0.01151,12.45,0.00498,0.01112,13.42,0.00671,0.01225,15.24,0.006096,0.01196,18.86,0.007544
